,index,set_code,set_name,set_link
193,0,trv,東京リベンジャーズ,https://yuyu-tei.jp/sell/ws/s/trv#kana
194,0,tld2nd,To LOVEる -とらぶる- ダークネス 2nd,https://yuyu-tei.jp/sell/ws/s/tld2nd#kana
195,0,tld2nd2.0,To LOVEる -とらぶる- ダークネス 2nd Vol.2,https://yuyu-tei.jp/sell/ws/s/tld2nd2.0#kana
196,0,ddext1.0,DOG DAYS Extra,https://yuyu-tei.jp/sell/ws/s/ddext1.0#kana
197,0,ddext2.0,DOG DAYS’Extra,https://yuyu-tei.jp/sell/ws/s/ddext2.0#kana
198,0,ddext3.0,DOG DAYS”Extra,https://yuyu-tei.jp/sell/ws/s/ddext3.0#kana
199,0,nisekoi,ニセコイ,https://yuyu-tei.jp/sell/ws/s/nisekoi#kana
200,0,nisekoiext,ニセコイ: Extra,https://yuyu-tei.jp/sell/ws/s/nisekoiext#kana
201,0,njext,日常,https://yuyu-tei.jp/sell/ws/s/njext#kana
202,0,ngl,ノーゲーム・ノーライフ,https://yuyu-tei.jp/sell/ws/s/ngl#kana
203,0,miku,初音ミク -Project DIVA- f,https://yuyu-tei.jp/sell/ws/s/miku#kana
204,0,miku2.0,初音ミク -Project DIVA- f 2nd,https://yuyu-tei.jp/sell/ws/s/miku2.0#kana
205,0,mikuext1.0,初音ミク -Project DIVA- X HD Extra,https://yuyu-tei.jp/sell/ws/s/mikuext1.0#kana
206,0,bd,BanG Dream!,https://yuyu-tei.jp/sell/ws/s/bd#kana
207,0,bd4.0,BanG Dream!Vol.2,https://yuyu-tei.jp/sell/ws/s/bd4.0#kana
208,0,bd2.0,バンドリ！ ガールズバンドパーティ！,https://yuyu-tei.jp/sell/ws/s/bd2.0#kana
209,0,bd3.0,バンドリ！ ガールズバンドパーティ! Vol.2,https://yuyu-tei.jp/sell/ws/s/bd3.0#kana
210,0,bd2.0td,バンドリ！ ガールズバンドパーティ！トライアルデッキ+,https://yuyu-tei.jp/sell/ws/s/bd2.0td#kana
211,0,bdsp,スペシャルパック「バンドリ! ガールズバンドパーティ!」,https://yuyu-tei.jp/sell/ws/s/bdsp#kana
212,0,bdpb,プレミアムブースター バンドリ! ガールズバンドパーティ!,https://yuyu-tei.jp/sell/ws/s/bdpb#kana
213,0,bdextmorras,BanG Dream!「Morfonica×RAISE A SUILEN」 Extra,https://yuyu-tei.jp/sell/ws/s/bdextmorras#kana
214,0,bdextppros,BanG Dream!「Poppin’Party×Roselia」Extra,https://yuyu-tei.jp/sell/ws/s/bdextppros#kana
